author,bvid,title,play,video_review,favorites,review,date
蜗牛柯基weibo,BV1kr421F7D5,太惨了，才辩论十五分钟，拜登就开始宕机……,1043691,637,1435,1550,1719542550
RT今日俄罗斯,BV1Yt4y1Z7zZ,美国“淫魔富商”爱泼斯坦性侵案文件解封  涉及特朗普克林顿霍金等多位社会名流,232623,62,863,1547,1704438265
纯正英语原声30秒,BV17y421q724,拼了！TikTok向18岁以上美国用户发送弹窗号召抵制禁令 美媒：TikTok用户电话轰炸也无法阻止众议院压倒性通过 NBC 2024.3.8,255945,78,448,1535,1709952640
张维为,BV1e2421K7Gm,美国00后：我们的国家正在崩溃，共产主义是美国唯一的出路,968943,3949,11585,1524,1709719109
墨家君,BV19t42187eH,"<em class=""keyword"">特朗普</em>豪言终止战争，如何做到？乌克兰濒临崩溃，究竟为何？",702995,423,1646,1487,1708314458
英语派对,BV1h5411v7fs,"投<em class=""keyword"">特朗普</em>还是拜登？双方支持者互喷",1301586,162,8851,1481,1705665600
英语派对,BV1h5411v7fs,投特朗普还是拜登？双方支持者互喷,1301586,162,8851,1481,1705665600
波士顿圆脸,BV1Fp421S76T,MAGA小将约翰逊，众议院议长席位岌岌可危·！,1094461,10483,3604,1437,1713783454
麻薯波比呀,BV1XC41147he,自由美利坚，吹牛也上税！瑞思拜,1474342,1403,3552,1434,1708226742
麻薯波比呀,BV1XC41147he,自由美利坚，吹牛也上税！瑞思拜,1474342,1403,3552,1434,1708226742
白宫茶话会,BV1AC411W76W,川普脱口秀2月10日：现场科普中国近代史，不起诉拜登也别起诉我！,497657,2231,3519,1433,1708428547
白宫茶话会,BV1AC411W76W,川普脱口秀2月10日：现场科普中国近代史，不起诉拜登也别起诉我！,497657,2231,3519,1433,1708428547
麻薯波比呀,BV1Fr421F7Ks,阿根廷激进改革引发爆裂冲突，米莱新政红红火火？,1283616,4432,4471,1432,1718442553
麻薯波比呀,BV1Fr421F7Ks,阿根廷激进改革引发爆裂冲突，米莱新政红红火火？,1283616,4432,4471,1432,1718442553
江平舟,BV1Sy421a7Pc,他砍下父亲头颅，号召美国内战,179808,2458,784,1430,1706786329
波士顿圆脸,BV1Ru4m137g4,MAGA猪队友-参议员小将酸拜登结果表演过度成笑柄,996513,11005,2909,1428,1709976648
江湖弃子,BV1Ns421K7ey,乌军已残、美军腐旧、中国崛起：美国援乌战略何以一败涂地？,840558,2404,6432,1427,1714528662
小胡在隔壁,BV15M4m1X7Sn,"拜登与<em class=""keyword"">川普</em>支持率仅差1％",839422,59,1250,1416,1713230163
小胡在隔壁,BV15M4m1X7Sn,拜登与川普支持率仅差1％,839422,59,1250,1416,1713230163
长在水里的树,BV17j421Z77r,"顺利拿下总统提名——<em class=""keyword"">特朗普</em>3月12日取得党内提名后鼓励支持者们再接再厉，争取一鼓作气拿下大选！",582593,538,2410,1415,1710327564
新华社,BV1rb4y1N7xo,"竞选集会上被求婚？黑利：你给我投票了吗？答：我投的是<em class=""keyword"">特朗普</em>",1574280,269,4404,1379,1706017680
央视新闻,BV1Gb421e7UZ,“封口费”案特朗普被裁定有罪,536997,263,1538,1365,1717123169
昵不了的称,BV1bWhLehEap,岁月不饶人，拜登四年前后对比,714768,285,4045,1358,1719762025
肝帝董佳宁,BV1zm411o7wG,美国为什么就没有一个年轻点的？,975397,6042,3354,1347,1710842400
麻薯波比呀,BV1he411Y7e9,"最大党内对手退选，<em class=""keyword"">特朗普</em>距离重返白宫还有几步？",1116692,2275,3177,1346,1705998527
麻薯波比呀,BV1he411Y7e9,最大党内对手退选，特朗普距离重返白宫还有几步？,1116692,2275,3177,1346,1705998527
肝帝董佳宁,BV1b5411v7yx,萝莉岛事件再曝新料，特朗普霍金都实锤了？,677921,6527,3573,1335,1705487400
金灿荣教授,BV1hy421h7FB,"金灿荣：如果<em class=""keyword"">特朗普</em>真这样做，将造成致命打击",448521,614,1046,1333,1707210000
沈逸老师,BV17m421T7cd,"【逸语道破】34项重罪指控成立，<em class=""keyword"">特朗普</em>要在监狱竞选美国总统？",380231,1230,1887,1332,1717120599
美国人有话说,BV1ys421T74n,美国乖乖女：996是标配，要不然房租都交不起,171640,367,2778,1328,1719400315
美国人有话说,BV1ys421T74n,美国乖乖女：996是标配，要不然房租都交不起,171640,367,2778,1328,1719400315
远方的达文西,BV1Se411172W,美国2024大选！围观指南，速成班！,924884,574,10764,1309,1705467298
远方的达文西,BV1Se411172W,美国2024大选！围观指南，速成班！,924884,574,10764,1309,1705467298
江湖弃子,BV1Dx421y7dc,吃草，儿童饿死，加沙大饥荒，以色列枪杀饥民破坏停火！,586350,2116,5883,1297,1709436836
青蜂侠-Bee,BV1u2421F7e5,特朗普因夸大其净资产被罚超3.5亿美元、永久禁止进入纽约地产,385460,85,563,1286,1708125813
华商报,BV182421P7hr,【特朗普：我非常谦卑地请求 家人们能不能给我捐点钱 有了你们的支持 美国将再次伟大（MAGA）】,233484,92,979,1286,1710931769
一天不打篮球就难受,BV1EA4m1P7QH,特朗普让女权主义者沉默,965507,195,3092,1283,1711090348
沈逸老师,BV1ps421M7yp,看完这场总统候选人辩论，我觉得美国有麻烦了【逸语道破】,1291072,1893,4875,1280,1719568759
麻薯波比呀,BV1CJ4m1Y7gt,"美最高法院裁决落地，<em class=""keyword"">懂王</em>大选再无绊脚石？",1064645,960,4730,1269,1709713722
麻薯波比呀,BV1CJ4m1Y7gt,美最高法院裁决落地，懂王大选再无绊脚石？,1064645,960,4730,1269,1709713722
叫我中单就好了,BV1Ab421Y7e7,挑战特朗普淳朴的一天,2206268,8209,19239,1262,1714208730
环球时报,BV1ux421y7c9,"<em class=""keyword"">特朗普</em>：将对不雇佣美国人、在墨西哥生产的中国车企，征收100%关税",189017,247,329,1249,1710667048
央视网快看,BV1FM4m1r7Up,"<em class=""keyword"">特朗普</em>成美国史上首位被判有罪前总统",216243,156,567,1243,1717116862
